Tamaño,Selection Sort,Merge Sort,Quick Sort,std::sort
10000, 51, 2, 8, 0
100000, 4618, 28, 83, 6
200000, 18670, 54, 149, 14
300000, 41840, 81, 255, 23
400000, 74451, 113, 318, 30
500000, 115481, 142, 434, 36
600000, 166047, 172, 473, 48
700000, 226039, 200, 590, 57
800000, 295151, 228, 646, 60
900000, 373490, 259, 722, 73
1000000, 465736, 287, 828, 79
