Tamaño,Selection Sort,Merge Sort,Quick Sort,std::sort
10000, 44, 3, 9, 2
100000, 4470, 38, 86, 18
200000, 17660, 75, 175, 39
300000, 39990, 119, 257, 61
400000, 71205, 154, 349, 84
500000, 111110, 199, 442, 109
600000, 160363, 251, 528, 132
700000, 218769, 280, 621, 153
800000, 285777, 330, 713, 183
900000, 366233, 365, 824, 202
1000000, 448751, 409, 904, 230
