Tamaño,Selection Sort,Merge Sort,Quick Sort,std::sort
10000, 49, 2, 6, 0
100000, 4474, 26, 85, 8
200000, 17892, 56, 121, 19
300000, 40347, 89, 192, 25
400000, 72002, 109, 316, 35
500000, 112788, 149, 428, 46
600000, 163505, 192, 414, 56
700000, 236427, 207, 530, 74
800000, 299952, 237, 582, 79
900000, 370200, 271, 606, 89
1000000, 453548, 296, 641, 98
