Tamaño,Selection Sort,Merge Sort,Quick Sort,std::sort
10000, 49, 3, 10, 1
100000, 4414, 33, 145, 16
200000, 17728, 69, 359, 33
300000, 40027, 109, 628, 49
400000, 70889, 146, 959, 69
500000, 110883, 181, 1359, 85
600000, 159845, 224, 1828, 101
700000, 218931, 266, 2333, 119
800000, 285103, 303, 2928, 137
900000, 378800, 331, 3544, 157
1000000, 450218, 380, 4226, 179
